rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,state,zipcode,school_type,charter,sch_name,magnet_sch,shared_time_sch,area_size,area_type,student_cnt,teacher_cnt,student_teacher_ratio,jj,arrests,referrals,referrals_or_arrests,any_ref_or_arr,institution_count,any_institutions,testing
0.0901537183215621,0.462250185048112,0.620879120879121,44818.0,22.0,0.275905912269549,OH,44221,Regular School,No,CUYAHOGA FALLS HIGH SCHOOL,0,No,Large,Suburb,1556.0,96.5,16.12,No,4.0,22.0,26.0,True,0.0,False,Optional
0.109338521400778,0.603751465416178,0.703344120819849,45769.0,16.0,0.82321618743344,OH,45420,Regular School,No,BELMONT HIGH SCHOOL,0,No,Mid-size,City,929.0,57.0,16.3,No,0.0,0.0,0.0,False,0.0,False,Optional
0.164014687882497,0.492105263157895,0.119929453262787,28972.0,17.0,0.916030534351145,OH,45417,Regular School,No,THURGOOD MARSHALL HIGH SCHOOL,0,No,Mid-size,City,629.0,36.0,17.47,No,0.0,0.0,0.0,False,0.0,False,Optional
0.216535433070866,0.508943089430894,0.150554675118859,16322.0,15.0,0.939958592132505,OH,45408,Regular School,No,DUNBAR EARLY COLLEGE HIGH SCHOOL,0,No,Mid-size,City,619.0,33.0,18.76,No,0.0,0.0,0.0,False,0.0,False,Optional
0.115986099044309,0.439189189189189,0.195979899497487,31056.0,16.0,0.944444444444444,OH,45416,Regular School,No,MEADOWDALE HIGH SCHOOL,0,No,Large,Suburb,631.0,41.0,15.39,No,0.0,0.0,0.0,False,0.0,False,Optional
0.437132784958872,0.477391304347826,0.589015151515151,19844.0,16.0,0.727158948685857,OH,45402,Regular School,No,DAVID H. PONITZ CAREER TECHNOLOGY  CENTER,0,No,Mid-size,City,749.0,60.0,12.48,No,0.0,0.0,0.0,False,0.0,False,Optional
0.145021645021645,0.478208716513395,0.55700325732899,24219.0,20.0,0.448512585812357,OH,45402,Regular School,No,STIVERS SCHOOL FOR THE ARTS,0,No,Mid-size,City,876.0,50.0,17.52,No,0.0,0.0,0.0,False,0.0,False,Optional
0.0365013774104683,0.639127561136814,0.7573385518591,51146.0,21.0,0.431858407079646,OH,45236,Regular School,No,DEER PARK  JR/SR HIGH SCHOOL,0,No,Large,Suburb,551.0,34.55,15.95,No,0.0,0.0,0.0,False,0.0,False,Optional
0.0687350835322196,0.556631578947368,0.55543358946213,49858.0,22.0,0.382513661202186,OH,43512,Regular School,No,DEFIANCE HIGH SCHOOL,0,No,Distant,Town,725.0,45.14,16.06,No,2.0,42.0,44.0,True,0.0,False,Optional
0.023841961852861,0.674064679771718,0.751608751608752,51926.0,23.0,0.263157894736842,OH,43015,Regular School,No,RUTHERFORD B HAYES HIGH SCHOOL,0,No,Large,Suburb,1606.0,80.1,20.05,No,2.0,10.0,12.0,True,0.0,False,Optional
0.137339055793991,0.466502765826675,0.679319371727749,42917.0,21.0,0.282857142857143,OH,45833,Regular School,No,JEFFERSON HIGH SCHOOL,0,No,Fringe,Town,335.0,21.0,15.95,No,0.0,0.0,0.0,False,0.0,False,Optional
0.116684841875682,0.427331887201735,0.573076923076923,27823.0,22.0,0.25251256281407,OH,44622,Regular School,No,DOVER HIGH SCHOOL,0,No,Distant,Town,815.0,41.0,19.88,No,0.0,0.0,0.0,False,0.0,False,Optional
0.225859247135843,0.402506963788301,0.315010570824524,27688.0,16.0,0.996770721205597,OH,44112,Regular School,No,SHAW HIGH SCHOOL,0,No,Large,Suburb,826.0,55.6,14.86,No,0.0,0.0,0.0,False,0.0,False,Optional
0.158649789029536,0.390139987827145,0.525146198830409,28462.0,20.0,0.515912897822446,OH,43920,Regular School,No,EAST LIVERPOOL HIGH SCHOOL,0,No,Fringe,Town,565.0,48.0,11.77,No,0.0,0.0,0.0,False,0.0,False,Optional
0.0845521023765996,0.474148802017654,0.695876288659794,42143.0,21.0,0.492711370262391,OH,44413,Regular School,No,EAST PALESTINE HIGH SCHOOL,0,No,Fringe,Town,365.0,11.75,31.06,No,0.0,0.0,0.0,False,0.0,False,Optional
0.163265306122449,0.495327102803738,0.478781284004353,38325.0,21.0,0.250420168067227,OH,45320,Regular School,No,EATON HIGH SCHOOL,0,No,Distant,Town,540.0,34.0,15.88,No,0.0,0.0,0.0,False,0.0,False,Optional
